Accession,Country,Host,Genus,Anotation,Suborder
NC_039027.1,Unknown,Ateles sp.,Ateles,Atelidae,Platyrrhini
NC_039030.1,USA,Callithrix,Callithrix,Callitrichidae,Platyrrhini
NC_039031.1,Brazil,Sapajus xanthosternos,Sapajus,Cebidae,Platyrrhini
LC487610.1,Japan,Macaca fuscata,Macaca,Cercopithecidae,Catarrhini
LC487611.1,Japan,Macaca fuscata yakui,Macaca,Cercopithecidae,Catarrhini
LC487615.1,Japan,Macaca fuscata,Macaca,Cercopithecidae,Catarrhini
LC487619.1,Japan,Macaca mulatta,Macaca,Cercopithecidae,Catarrhini
LC487620.1,Japan,Macaca cyclopis,Macaca,Cercopithecidae,Catarrhini
LC487623.1,Japan,Macaca fuscata yakui,Macaca,Cercopithecidae,Catarrhini
LC487624.1,Japan,Macaca fuscata yakui,Macaca,Cercopithecidae,Catarrhini
LC487626.1,Japan,Macaca fuscata yakui,Macaca,Cercopithecidae,Catarrhini
MN178627.1,Brazil,Leontopithecus chrysomelas,Leontopithecus,Callitrichidae,Platyrrhini
MN178628.1,Brazil,Leontopithecus chrysomelas,Leontopithecus,Callitrichidae,Platyrrhini
MN178629.1,Brazil,Leontopithecus chrysomelas,Leontopithecus,Callitrichidae,Platyrrhini
MN178630.1,Brazil,Leontopithecus chrysomelas,Leontopithecus,Callitrichidae,Platyrrhini
MN178631.1,Brazil,Leontopithecus chrysomelas,Leontopithecus,Callitrichidae,Platyrrhini
MN178632.1,Brazil,Leontopithecus chrysomelas,Leontopithecus,Callitrichidae,Platyrrhini
MN178633.1,Brazil,Leontopithecus chrysomelas,Leontopithecus,Callitrichidae,Platyrrhini
MN178635.1,Brazil,Leontopithecus chrysomelas,Leontopithecus,Callitrichidae,Platyrrhini
MN178636.1,Brazil,Leontopithecus chrysomelas,Leontopithecus,Callitrichidae,Platyrrhini
MH368762.1,Brazil,Brachyteles arachnoides,Brachyteles,Atelidae,Platyrrhini
KR528435.1,Brazil,Sapajus xanthosternos,Sapajus,Cebidae,Platyrrhini
KR528436.1,Brazil,Sapajus nigritus robustus,Sapajus,Cebidae,Platyrrhini
KR528438.1,Brazil,Cacajao melanocephalus,Cacajao,Pitheciidae,Platyrrhini
KR528439.1,Brazil,Sapajus nigritus robustus,Sapajus,Cebidae,Platyrrhini
KR528442.1,Brazil,Alouatta guariba,Alouatta,Atelidae,Platyrrhini
KR528443.1,Brazil,Leontopithecus chrysomelas,Leontopithecus,Callitrichidae,Platyrrhini
KR528444.1,Brazil,Callithrix geoffroyi,Callithrix,Callitrichidae,Platyrrhini
KR528445.1,Brazil,Chiropotes sp.,Chiropotes,Pitheciidae,Platyrrhini
KR528447.1,Brazil,Alouatta belzebul,Alouatta,Atelidae,Platyrrhini
KR902438.1,Unknown,Ateles chamek,Ateles,Atelidae,Platyrrhini
KR902443.1,Unknown,Ateles geoffroyi,Ateles,Atelidae,Platyrrhini
KR902444.1,Unknown,Ateles geoffroyi,Ateles,Atelidae,Platyrrhini
KR902448.1,Unknown,Ateles geoffroyi,Ateles,Atelidae,Platyrrhini
KR902451.1,Unknown,Ateles hybridus,Ateles,Atelidae,Platyrrhini
KR902454.1,Unknown,Alouatta sara,Alouatta,Atelidae,Platyrrhini
KR902456.1,Unknown,Alouatta seniculus,Alouatta,Atelidae,Platyrrhini
KR902458.1,Unknown,Sapajus apella,Sapajus,Cebidae,Platyrrhini
KR902459.1,Unknown,Sapajus apella,Sapajus,Cebidae,Platyrrhini
KR902460.1,Unknown,Sapajus apella,Sapajus,Cebidae,Platyrrhini
KR902461.1,Unknown,Sapajus apella,Sapajus,Cebidae,Platyrrhini
KR902464.1,Unknown,Sapajus apella,Sapajus,Cebidae,Platyrrhini
KR902465.1,Unknown,Sapajus apella,Sapajus,Cebidae,Platyrrhini
KR902466.1,Unknown,Sapajus apella,Sapajus,Cebidae,Platyrrhini
KR902470.1,Peru,Sapajus apella,Sapajus,Cebidae,Platyrrhini
KR902473.1,Unknown,Callithrix jacchus,Callithrix,Callitrichidae,Platyrrhini
KR902481.1,Unknown,Pithecia pithecia,Pithecia,Pitheciidae,Platyrrhini
KR902483.1,Unknown,Pithecia pithecia,Pithecia,Pitheciidae,Platyrrhini
KR902490.1,Unknown,Callithrix jacchus,Callithrix,Callitrichidae,Platyrrhini
KC283230.1,Cambodia,Macaca fascicularis,Macaca,Cercopithecidae,Catarrhini
KC283231.1,Cambodia,Macaca fascicularis,Macaca,Cercopithecidae,Catarrhini
KC283234.1,Cambodia,Macaca fascicularis,Macaca,Cercopithecidae,Catarrhini
KC283236.1,Cambodia,Macaca fascicularis,Macaca,Cercopithecidae,Catarrhini
KC196056.1,China,Macaca mulatta,Macaca,Cercopithecidae,Catarrhini
KC196057.1,China,Macaca mulatta,Macaca,Cercopithecidae,Catarrhini
KC196058.1,China,Macaca mulatta,Macaca,Cercopithecidae,Catarrhini
KC196059.1,China,Macaca mulatta,Macaca,Cercopithecidae,Catarrhini
KC331074.1,Brazil,Alouatta seniculus,Alouatta,Atelidae,Platyrrhini
KC331075.1,Brazil,Cebus albifrons,Cebus,Cebidae,Platyrrhini
KC331077.1,Brazil,Sapajus apella,Sapajus,Cebidae,Platyrrhini
KC331078.1,Brazil,Sapajus apella,Sapajus,Cebidae,Platyrrhini
KC331079.1,Brazil,Sapajus apella,Sapajus,Cebidae,Platyrrhini
KC331080.1,Brazil,Sapajus apella,Sapajus,Cebidae,Platyrrhini
KC331081.1,Brazil,Sapajus xanthosternos,Sapajus,Cebidae,Platyrrhini
KC331082.1,Brazil,Alouatta guariba,Alouatta,Atelidae,Platyrrhini
JF746869.1,China,Macaca mulatta,Macaca,Cercopithecidae,Catarrhini
EU527595.1,Democratic Republic of the Congo,Pan paniscus,Pan,Hominidae,Catarrhini
DQ354073.1,Unknown,Unknown,Unknown,Unknown,Unknown
DQ354074.1,Unknown,Unknown,Unknown,Unknown,Unknown
DQ354079.1,Unknown,Unknown,Unknown,Unknown,Unknown
DQ354080.1,Unknown,Unknown,Unknown,Unknown,Unknown
AY686195.1,Unknown,Pan paniscus,Pan,Hominidae,Catarrhini
AY686198.1,Unknown,Macaca arctoides,Macaca,Cercopithecidae,Catarrhini
AY686204.1,Unknown,Pongo pygmaeus,Pongo,Hominidae,Catarrhini
AJ627527.1,Indonesia,Pongo pygmaeus pygmaeus,Pongo,Hominidae,Catarrhini
AJ627528.1,Indonesia,Pongo pygmaeus pygmaeus,Pongo,Hominidae,Catarrhini
AJ627531.1,Indonesia,Pongo pygmaeus pygmaeus,Pongo,Hominidae,Catarrhini
AJ627532.1,Indonesia,Pongo pygmaeus pygmaeus,Pongo,Hominidae,Catarrhini
AJ627533.1,Indonesia,Pongo pygmaeus pygmaeus,Pongo,Hominidae,Catarrhini
AJ627534.1,Indonesia,Pongo pygmaeus pygmaeus,Pongo,Hominidae,Catarrhini
AJ627536.1,Indonesia,Pongo pygmaeus pygmaeus,Pongo,Hominidae,Catarrhini
AJ627539.1,Indonesia,Pongo pygmaeus pygmaeus,Pongo,Hominidae,Catarrhini
AJ627540.1,Indonesia,Pongo pygmaeus pygmaeus,Pongo,Hominidae,Catarrhini
AJ627541.1,Indonesia,Pongo abelii,Pongo,Hominidae,Catarrhini
AJ627543.1,Indonesia,Pongo abelii,Pongo,Hominidae,Catarrhini
AJ627544.1,Indonesia,Pongo abelii,Pongo,Hominidae,Catarrhini
AJ627547.1,Indonesia,Pongo abelii,Pongo,Hominidae,Catarrhini
AJ627550.1,Unknown,Pan paniscus,Pan,Hominidae,Catarrhini
AJ627551.1,Unknown,Pan paniscus,Pan,Hominidae,Catarrhini
AY278785.1,Unknown,Cercocebus torquatus,Cercocebus,Unknown,Unknown
AY195689.1,Unknown,Unknown,Unknown,Unknown,Unknown
AJ556783.1,Indonesia,Pongo pygmaeus pygmaeus,Pongo,Hominidae,Catarrhini
AF516486.1,Unknown,Hylobates pileatus,Hylobates,Hylobatidae,Catarrhini
AF516487.1,Unknown,Nomascus leucogenys,Nomascus,Hylobatidae,Catarrhini
AF049086.1,Unknown,Unknown,Unknown,Unknown,Unknown
X83298.1,Unknown,Ateles sp.,Ateles,Atelidae,Platyrrhini
KR528446.1,Brazil,Leontopithecus rosalia,Leontopithecus,Callitrichidae,Platyrrhini
